library,model_name,numberOfCategoricalFeatures,numberOfNumericalFeatures,meanUniqueNumericalValues,meanUniqueCategoricalValues,meanNumberMissing,number_of_instances,ACC
mlr,classif.gbm,2,7,2694,4.5,0,45312,0.5755
mlr,classif.gbm,2,7,2694,4.5,0,45312,0.5755
mlr,classif.binomial,2,7,2694,4.5,0,45312,0.7194
mlr,classif.gbm,2,7,2694,4.5,0,45312,0.7594
mlr,classif.gbm,2,7,2694,4.5,0,45312,0.7664
mlr,classif.binomial,2,7,2694,4.5,0,45312,0.7614
mlr,classif.binomial,2,7,2694,4.5,0,45312,0.7365
mlr,classif.gbm,2,7,2694,4.5,0,45312,0.5755
caret,classif.randomForest,2,7,2694,4.5,0,45312,0.8950168
mlr,classif.gbm,2,7,2694,4.5,0,45312,0.7969
mlr,classif.binomial,2,7,2694,4.5,0,45312,0.7563
mlr,classif.gbm,2,7,2694,4.5,0,45312,0.5755
mlr,classif.gbm,2,7,2694,4.5,0,45312,0.7556
mlr,classif.lda,2,7,2694,4.5,0,45312,0.7313957
mlr,classif.binomial,1,9,5.888888888888889,2,0,100,0.83
mlr,classif.randomForestSRC,1,3,30.666666666666668,2,0,306,0.6962983
scikit,KNeighborsClassifier,1,2,39.5,12,0,306,0.8260869565217391
scikit,KNeighborsClassifier,1,2,39.5,12,0,306,0.8260869565217391
scikit,KNeighborsClassifier,1,2,39.5,12,0,306,0.8478260869565217
scikit,KNeighborsClassifier,1,2,39.5,12,0,306,0.8260869565217391
scikit,KNeighborsClassifier,1,2,39.5,12,0,306,0.8260869565217391
scikit,KNeighborsClassifier,1,2,39,12,0,306,0.717391304347826
scikit,KNeighborsClassifier,1,2,39.5,12,0,306,0.8260869565217391
scikit,KNeighborsClassifier,1,2,39.5,12,0,306,0.8260869565217391
scikit,KNeighborsClassifier,1,2,39.5,12,0,306,0.8260869565217391
scikit,KNeighborsClassifier,1,2,39.5,12,0,306,0.8260869565217391
scikit,KNeighborsClassifier,1,2,39.5,12,0,306,0.8478260869565217
mlr,classif.earth,1,8,10827.75,2,0,22784,0.8793
mlr,classif.earth,1,8,10827.75,2,0,22784,0.8793
mlr,classif.earth,1,8,10827.75,2,0,22784,0.8787
mlr,classif.cvglmnet,1,8,10827.75,2,0,22784,0.8521
mlr,classif.cvglmnet,1,8,10827.75,2,0,22784,0.8521
mlr,classif.earth,1,8,10827.75,2,0,22784,0.8793
mlr,classif.earth,1,8,10827.75,2,0,22784,0.8787
mlr,classif.cvglmnet,1,8,10827.75,2,0,22784,0.852
mlr,classif.earth,1,8,10827.75,2,0,22784,0.8787
mlr,classif.cvglmnet,1,8,10827.75,2,0,22784,0.852
mlr,classif.gbm,1,5,21.6,2,0,500,0.6217
mlr,classif.boosting,4,2,48,4.25,32,500,0.582
NA,NA,37,0,NaN,2.027027027027027,0,3196,0.9937
caret,bartMachine,1,6,54.666666666666664,2,0,345,0.7362
mlr,classif.glmnet,1,6,54.666666666666664,2,0,345,0.6811594
mlr,classif.rpart,1,3,43,2,0,87,0.7131
mlr,classif.kknn,1,3,43,2,0,87,0.7
mlr,classif.binomial,1,3,43,2,0,87,0.7582
mlr,classif.binomial,1,3,43,2,0,87,0.7359
mlr,classif.binomial,1,3,43,2,0,87,0.7693
mlr,classif.binomial,1,3,43,2,0,87,0.7575
mlr,classif.ranger,23,0,NaN,4.3478260869565215,0,8124,1
mlr,classif.ranger,23,0,NaN,4.3478260869565215,0,8124,1
mlr,classif.plr,23,0,NaN,4.3478260869565215,0,8124,1
mlr,classif.naiveBayes,23,0,NaN,4.3478260869565215,0,8124,0.953
mlr,classif.ada,23,0,NaN,4.3478260869565215,0,8124,1
mlr,classif.rpart,23,0,NaN,4.3478260869565215,0,8124,0.9972
mlr,classif.ada,23,0,NaN,4.3478260869565215,0,8124,1
mlr,classif.randomForest,23,0,NaN,4.3478260869565215,0,8124,1
mlr,classif.gbm,23,0,NaN,4.3478260869565215,0,8124,1
mlr,classif.ada,23,0,NaN,4.3478260869565215,0,8124,1
mlr,classif.ranger,5,6,4.166666666666667,3.8,0,478,0.6737
mlr,classif.ranger,5,6,4.166666666666667,3.8,0,478,0.6716
mlr,classif.cforest,5,6,4.166666666666667,3.8,0,478,0.7218
mlr,classif.randomForest,5,6,4.166666666666667,3.8,0,478,0.6863
mlr,classif.randomForestSRC,5,6,4.166666666666667,3.8,0,478,0.6653
mlr,classif.randomForest,5,6,4.166666666666667,3.8,0,478,0.6883
mlr,classif.h2o.randomForest,5,6,4.166666666666667,3.8,0,478,0.6528
mlr,classif.RRF,5,6,4.166666666666667,3.8,0,478,0.6465
mlr,classif.randomForest,5,6,4.166666666666667,3.8,0,478,0.6716
mlr,classif.randomForestSRC,5,6,4.166666666666667,3.8,0,478,0.6632
mlr,classif.RRF,5,6,4.166666666666667,3.8,0,478,0.6528
mlr,classif.cforest,5,6,4.166666666666667,3.8,0,478,0.726
mlr,classif.cforest,5,6,4.166666666666667,3.8,0,478,0.7218
mlr,classif.cforest,5,6,4.166666666666667,3.8,0,478,0.726
mlr,classif.h2o.randomForest,5,6,4.166666666666667,3.8,0,478,0.6569
mlr,classif.h2o.randomForest,5,6,4.166666666666667,3.8,0,478,0.6549
mlr,classif.h2o.randomForest,5,6,4.166666666666667,3.8,0,478,0.6548
mlr,classif.logreg,1,2,250,2,0,250,0.848
mlr,classif.svm,1,2,250,2,0,250,0.856
caret,rsvmPoly,8,0,NaN,24.25,0,672,0.7426
mlr,naiveBayes,1,3,246904,2,0,1000000,0.8404
mlr,classif.gbm,1,3,246904,2,0,1000000,0.8414
mlr,classif.gbm,1,3,246904,2,0,1000000,0.8395
mlr,classif.logreg,1,3,246904,2,0,1000000,0.8418
mlr,classif.gbm,1,3,246904,2,0,1000000,0.8416
mlr,classif.logreg,1,3,256,2,0,245057,0.9187822
scikit,RandomForestClassifier,0,3,256,NaN,0,245057,0.9981229086754264
mlr,classif.rotationForest,1,60,187.6,2,0,208,0.8084
mlr,classif.logreg,1,60,187.6,2,0,208,0.7067
mlr,classif.plsdaCaret,1,60,187.6,2,0,208,0.7214
mlr,classif.mda,1,60,187.6,2,0,208,0.7259
mlr,classif.penalized,1,60,187.6,2,0,208,0.7067
mlr,classif.plr,1,60,187.6,2,0,208,0.7309
mlr,classif.ada,17,1,6,8.058823529411764,0,101,0.8904
