ACC,model_ID
0.841661,41c9e153488e3f4ce89c2b26d3a24c39
0.8395,966276d98912899965b895ec20646175
0.8418,b4ec418e23913c5e7b0302a721f5e7d9
0.8416,bbaf78099ea6880eeb8a15d7fdd85dfe
0.9187822,4854f305f42ae8beb4f19d3de2ba2d8e
0.9981229086754264,cf53a0d7d29ba8f2bf6fa06793d40400
0.8084,496ca04696bf50fa44859a0b39c0959f
0.7067,4db8669eb6b47e47708251a0fdb7ac17
0.7214,68c5f087d89fe636c7f4777133dce9a9
0.7259,781c996ac704df2b6f224416488c7d59
0.7067,be68fc34769e2eeaff4cc7de2c4f9a73
0.7309,c5a70a5d0738d07b461d6944fe597a2b
0.8904,147da89c2ea06175928b517c966f7594
