MSE,RMS,MAE,R2,ACC,AUC,SPE,REC,PRE,F1,model_ID
NA,NA,NA,NA,0.9007,0.76,0.3661,0.9715,0.9204,0.9453,f8b44110ff8358e71e3bbdaef2526f36
NA,NA,NA,NA,0.9082,0.9338,0.4871,0.964,0.9342,0.9489,3ad72ea5bd76d3b45ffd456aa5dcf17a
NA,NA,NA,NA,0.9015,0.9063,0.3442,0.9754,0.9182,0.9459,566a24ba0e74b4a1d62748e5296cc61b
NA,NA,NA,NA,0.9007,0.76,0.3661,0.9715,0.9204,0.9453,f8b44110ff8358e71e3bbdaef2526f36
NA,NA,NA,NA,0.9927,0.9999,0.9934,0.9922,0.9947,0.9934,026fbd7ebdee40e74ab7993231bdfeee
NA,NA,NA,NA,0.9927,0.9999,0.9934,0.9922,0.9947,0.9934,08048b48d78cc05fa7444c6f69da1393
NA,NA,NA,NA,0.9927,0.9999,0.9934,0.9922,0.9947,0.9934,0f416f89258de5a0f4945eb8979fe533
NA,NA,NA,NA,0.9927,0.9999,0.9934,0.9922,0.9947,0.9934,1fa946cb34beca9f85d58bbd3c4a23eb
NA,NA,NA,NA,0.9927,0.9999,0.9934,0.9922,0.9947,0.9934,217f9ced370bc9163b8d50118b911cf1
NA,NA,NA,NA,0.9978129,1,1,0.9961534,1,0.9980661,329e26fc4ac7088ca02526dd5ab088ea
NA,NA,NA,NA,0.9927,0.9999,0.9934,0.9922,0.9947,0.9934,444ba9284c6adba3028783216e79a967
NA,NA,NA,NA,0.9927,0.9999,0.9949,0.9908,0.9962,0.9935,5afabfed38d286d9c9b55f09d503fb9e
NA,NA,NA,NA,0.9927,0.9999,0.9934,0.9922,0.9947,0.9934,6a631ec3f8de09e3c8f6bbe8c3164a3a
NA,NA,NA,NA,0.9927,0.9999,0.9949,0.9908,0.9962,0.9935,719cff0a54618bd5aa48cb4fbb26a8b8
NA,NA,NA,NA,0.9927,0.9999,0.9949,0.9908,0.9962,0.9935,7e887a1f134ecfa0e2632ffb1169044d
NA,NA,NA,NA,0.9927,0.9999,0.9949,0.9908,0.9962,0.9935,a7543cdebc3c00e848f7dd9d80d0ab2b
NA,NA,NA,NA,0.9927,0.9999,0.9934,0.9922,0.9947,0.9934,e3fb4fd324d32fffb460764dee9d5895
NA,NA,NA,NA,0.9927,0.9999,0.9949,0.9908,0.9962,0.9935,e7a9ce270d8247e28aa7cc346b3a39c7
NA,NA,NA,NA,0.9927,0.9999,0.9934,0.9922,0.9947,0.9934,ea0110d8dd0b2174a5655a14d5d3ece7
NA,NA,NA,NA,0.9927,0.9999,0.9934,0.9922,0.9947,0.9934,ec97b5296fb7a407343be99fdf1e3e06
2.509221,1.584052,1.243836,0.4580378,NA,NA,NA,NA,NA,NA,1af103d55130314ed79889c3db375d5b
51.53766,7.178974,5.780129,0.2560569,NA,NA,NA,NA,NA,NA,38e19ef4ab959caebda3edc6cb0780b3
NA,NA,NA,NA,0.8854,0.9491,0.8356,0.9175,0.8868,0.9017,177fc14c22ba89ff2426fe40ad1a8c32
NA,NA,NA,NA,0.8596,0.9307,0.8084,0.8877,0.8743,0.8806,1e272b2216101c23432a798ece55d329
NA,NA,NA,NA,0.8655,0.9315,0.8204,0.8914,0.8797,0.8852,398e2c1adf55c3af542ad398385d233e
NA,NA,NA,NA,0.8556,0.9149,0.7867,0.893,0.8637,0.8777,5b8e66e8fd1ecf4020053a2af113c394
NA,NA,NA,NA,0.8537,0.9302,0.7882,0.891,0.862,0.8763,943368e96b27dfa62ba668ffdeb067b1
NA,NA,NA,NA,0.8893,0.9479,0.8472,0.9184,0.8926,0.9051,b67e683e3f892e00ee56abfbce053b69
NA,NA,NA,NA,0.8834,0.9458,0.8495,0.9088,0.8922,0.8999,db1d88132af4dc3f2c6114a1495e1624
NA,NA,NA,NA,0.8715,0.9463,0.8261,0.8968,0.8839,0.8897,f3923e49f21bead9883a62b9e3f55de6
NA,NA,NA,NA,0.7364,0.6608,0.3262,0.9005,0.7682,0.8281,b629fee12bc484aede97f759d1767272
NA,NA,NA,NA,0.6931,0.6889741,0.4338235,0.8015385,0.773399,0.7872174,f57702688fff5d79201a00efc0f81a4c
146.3202,12.0963,8.3697,0.14,NA,NA,NA,NA,NA,NA,800e6b2ac2b9e0cb6309e97222354cc4
40.08765,6.331481,5.06487,0.7583533,NA,NA,NA,NA,NA,NA,e969aeb24ecf5f57be549b8cee168214
NA,NA,NA,NA,0.9556,0.9149,0.7349,0.9918,0.9579,0.9746,0157a600fb3cbe615b2bc29b15d2c783
NA,NA,NA,NA,0.9566,0.9165,0.7391,0.9923,0.9586,0.9752,0737cbd61e9ba725a34f3c616d664ea2
NA,NA,NA,NA,0.8578,0.8457,0.1705,0.9709,0.8767,0.9214,1b51fa3d952b65c7632347033aff5000
NA,NA,NA,NA,0.9566,0.9165,0.7391,0.9923,0.9586,0.9752,23cc982f8ccd5dbfa089e6ad46198c5d
NA,NA,NA,NA,0.9552,0.9154,0.7321,0.9918,0.9575,0.9744,376bb276bbcd9256523368db879d778f
NA,NA,NA,NA,0.9546,0.9227,0.7168,0.9937,0.9552,0.9741,3efc2cb3038b48ec412e6117555a100f
NA,NA,NA,NA,0.9552,0.9154,0.7321,0.9918,0.9575,0.9744,40ba59355ff973b1e9b06ad39f720b8b
NA,NA,NA,NA,0.9552,0.9154,0.7321,0.9918,0.9575,0.9744,4e785e70edbceb3baaabd444caa9cd5d
NA,NA,NA,NA,0.9566,0.9165,0.7391,0.9923,0.9586,0.9752,52e9deee466af9444b18f038a162958a
NA,NA,NA,NA,0.8554,0.8573,0.217,0.9604,0.8818,0.9194,54a68b94136a14c9f76d733ff53ccad9
NA,NA,NA,NA,0.882,0.7932,0.3045,0.977,0.8952,0.9343,78f10f5935583e71f81bb60cf2273b03
NA,NA,NA,NA,0.9566,0.9165,0.7391,0.9923,0.9586,0.9752,7aec5a585901fa0ed6f131b67696213f
NA,NA,NA,NA,0.854,0.8608,0.2044,0.9609,0.8801,0.9187,a12cd1320d72e7b4ec0b9094bc9a7304
NA,NA,NA,NA,0.9556,0.9149,0.7349,0.9918,0.9579,0.9746,a2024e086b7136dac49e31f341d765c0
NA,NA,NA,NA,0.9556,0.9149,0.7349,0.9918,0.9579,0.9746,a87821770a9d685bd79dcf0a6b21c7b4
NA,NA,NA,NA,0.9552,0.9154,0.7321,0.9918,0.9575,0.9744,bc69e734f17db34a6aa14082d8fe8d9e
NA,NA,NA,NA,0.9566,0.9165,0.7391,0.9923,0.9586,0.9752,c80e6ac0b360ef231656a195ca967096
NA,NA,NA,NA,0.9556,0.9149,0.7349,0.9918,0.9579,0.9746,d9e73df343c4a48b5eb8385e4fe3d9af
NA,NA,NA,NA,0.9556,0.9245,0.7396,0.9911,0.9585,0.9746,dee39150bf865162012e9569ef960c5e
NA,NA,NA,NA,0.9552,0.9154,0.7321,0.9918,0.9575,0.9744,e3a068ebd2d8b4bbcf58b82ab51a8f7f
NA,NA,NA,NA,0.9556,0.9149,0.7349,0.9918,0.9579,0.9746,e66535ace56194e9745faabac6bcf089
NA,NA,NA,NA,0.8948,0.7898,0.4388,0.9702,0.9128,0.9406,fb1de61cfc264387165ac6534d48d3b5
0.1733,0.4163,0.26,0.815,NA,NA,NA,NA,NA,NA,4753f39ad4249ff97da8d5b9a5243072
9.917,3.1491,0.7872,-2.9168,NA,NA,NA,NA,NA,NA,4a227a967772e243a63804e6de4441f1
0.1733,0.4163,0.26,0.815,NA,NA,NA,NA,NA,NA,a676580715a8a3cf9f2951468ec96c81
0.1716,0.4143,0.2597,0.8162,NA,NA,NA,NA,NA,NA,c91d079eeb53c4df12a3dc20b599f92b
0.1733,0.4163,0.26,0.815,NA,NA,NA,NA,NA,NA,d0521d0977526dee010d91e21ef26fa8
