"","id","added_by","date","library","model_name","task_id","dataset_id","mse","rmse","mae","r2"
"1","25d9d874a28a8989e295fe65b193f1c7","hubertbaniecki","13-03-2019","mlr","regr.svm","regression_PartOfTheDay","kaggle_barcelona-data-sets-accidents-2017",0.033,0.1817,0.1217,0.8662
"2","d610b12484e0832865b7770a58e3e252","Adamoso","27-02-2019","mlr","regr.lm","regression_wage","kaggle_beauty",17.8294,4.2184,2.3967,0.1944
"3","3b3b244bb8c811eee2435d534406befe","BogdanJastrzebski","5-03-2019","mlr","regr.rpart","regression_oldpeak","kaggle_heart-disease",0.961,0.9803,0.098,0.9603
"4","c147040bb9c51e29cb17df401adcd6f4","WojciechKretowicz","11-03-2019","mlr","regr.svm","regression_MPI.Rural","kaggle_MPI_national",4e-04,0.0206,0.0161,0.988
"5","61f01a1058d3d2a2f0cc0ae3061f94e4","BogdanJastrzebski","12-03-2019","caret","ranger","regression_Mean.of.the.integrated.profile","kaggle_predicting-a-pulsar-star",69.1526,8.3158,6.5979,0.8949
"6","40bcd69481d6bc53abafa56e7a316146","maksymiuks","20-03-2019","caret","brnn","regression_quality","kaggle_red-wine-quality",0.3929,0.6268,0.4882,0.4074
"7","5ca1382e2db158d4bd18e43dc91441dd","hubertbaniecki","13-03-2019","caret","rf","regression_quality","kaggle_red-wine-quality",0.3242,0.5694,0.4188,0.5083
"8","d8b526d0c578c78ff4430d521ba48ccb","maksymiuks","13-03-2019","caret","bagEarthGCV","regression_quality","kaggle_red-wine-quality",0.3946,0.6282,0.4846,0.3983
"9","578d766e499119fbe9057e45d739663d","k-sap","05-03-2019","mlr","regr.evtree","regression_suicides100k_pop","kaggle_suicide-rates-overview-1985-to-2016",0.005,0.0704,0.0408,0.3287
"10","16331c6aa2b3c8b38f403413ea80c58a","airi314","13-03-2019","mlr","regr.bcart","regression_Height","openml_abalone",0.0015,0.039,0.0278,0.1509
"11","9f6a685a9d30e47223fdd383258ecae5","hubertbaniecki","13-03-2019","mlr","regr.lm","regression_Sex","openml_abalone",0.2431,0.493,0.4851,0.0199
"12","e0ae5a9a07b95e41e81739b94d67735b","witoldmerkel","13-03-2019","caret","lm","regression_AIDS","openml_aids",170606832,13061.66,10092.32,0.4486
"13","3561eb2e52cf1ee0fa4502b510801758","MatiFilozof","24-03-2019","mlr","regr.plsr","regression_Log_exposure","openml_analcatdata_supreme",0.1711,0.4137,0.3074,0.4323
"14","488606e0a89585c238575f03131e0f33","MatiFilozof","24-03-2019","mlr","regr.gausspr","regression_Log_exposure","openml_analcatdata_supreme",0.0331,0.1819,0.11,0.8907
"15","51b8e2f48c66ac820cada52aa54d1483","MatiFilozof","24-03-2019","mlr","regr.svm","regression_Log_exposure","openml_analcatdata_supreme",0.3838,0.6195,0.2399,-0.2428
"16","5849e2aea87ed90dd38e7c98bdb64590","MatiFilozof","24-03-2019","mlr","regr.plsr","regression_Log_exposure","openml_analcatdata_supreme",0.1711,0.4137,0.3074,0.4323
"17","6fe1f9f980720b71efc6c5ea52585822","MatiFilozof","24-03-2019","mlr","regr.gausspr","regression_Log_exposure","openml_analcatdata_supreme",0.1711,0.4137,0.3074,0.4323
"18","761b17cb819d8ff237dc1a2123dcbda3","MatiFilozof","24-03-2019","mlr","regr.svm","regression_Log_exposure","openml_analcatdata_supreme",0.0361,0.1901,0.095,0.8807
"19","aece76ec5ccb179dff9ec77054b75953","MatiFilozof","24-03-2019","mlr","regr.svm","regression_Log_exposure","openml_analcatdata_supreme",68.5043,8.2767,6.2536,-226.6721
"20","db5736627d99e042713619bfff9de5b1","MatiFilozof","24-03-2019","mlr","regr.plsr","regression_Log_exposure","openml_analcatdata_supreme",0.1711,0.4137,0.3074,0.4323
"21","dd3a1d136344582738d15090bbf6ac58","MatiFilozof","24-03-2019","mlr","regr.gausspr","regression_Log_exposure","openml_analcatdata_supreme",0.1711,0.4137,0.3074,0.4323
"22","e70039ead53198c467a8f17f4a705d34","BogdanJastrzebski","12-03-2019","mlr","regr.rpart","regression_V7","openml_artificial-characters",62.0962,7.8801,6.2555,0.4978
"23","70c912dc6d606a85501e09c8afbefec6","Adamoso","06-03-2019","mlr","regr.glm","regression_horsepower","auto_price",149.8716,12.2422,9.0172,0.8377
"24","76bdc1c58aff873c81916cab6223724c","witoldmerkel","13-03-2019","mlr","regr.rpart","regression_horsepower","openml_auto-price",177.2695,13.3143,8.6664,0.8074
"25","72304e35adc17774e4b2eff429ad48c8","Siemashko","12-03-2019","mlr","regr.xgboost","regression_length","openml_auto-price",14709.9604,121.2846,120.7388,-112.307
"26","f43eac1d8cca3d365c54df528994169a","Adamoso","06-03-2019","caret","regr_lm","regression_length","auto_price",19.8167,4.4516,3.4512,0.8504
"27","0dafe44ce3fe0e84c415260b9dc4f220","DominikRafacz","23-03-2019","mlr","regr.gausspr","regression_price","openml_auto_price",6914147.8628,2629.4767,1882.3674,0.7765
"28","1adc10c9186f2ccc42cbb293c0009d0c","DominikRafacz","23-03-2019","mlr","regr.plsr","regression_price","openml_auto_price",7111593.9813,2666.7572,1915.2552,0.7697
"29","437d67593eba67c27e223e757a1d72ad","DominikRafacz","23-03-2019","mlr","regr.svm","regression_price","openml_auto_price",75994544.8267,8717.485,4864.8463,-1.242
"30","4559bce5b39f66237b1f850b2e4543a0","DominikRafacz","23-03-2019","mlr","regr.gausspr","regression_price","openml_auto_price",9172452.7405,3028.6057,1781.3488,0.7291
"31","4643106e0373dd8682e15b91bdbd3020","DominikRafacz","23-03-2019","mlr","regr.svm","regression_price","openml_auto_price",12243798.4042,3499.1139,2024.1006,0.6247
"32","82003a15e55a7702dafd4e106753c3c1","DominikRafacz","23-03-2019","mlr","regr.plsr","regression_price","openml_auto_price",7111596.3146,2666.7576,1915.2566,0.7697
"33","9b28e92d084bfd519f1b731431248f9a","DominikRafacz","23-03-2019","mlr","regr.plsr","regression_price","openml_auto_price",7111596.3151,2666.7576,1915.2566,0.7697
"34","a9a0cbdf0a4925168aa15c8d8aeedf76","DominikRafacz","23-03-2019","mlr","regr.gausspr","regression_price","openml_auto_price",6922451.3929,2631.0552,1883.8056,0.7762
"35","dd727d3a588c928dc9b8066c643a480a","DominikRafacz","23-03-2019","mlr","regr.svm","regression_price","openml_auto_price",7533825.3072,2744.7815,1620.3632,0.7781
"36","1af103d55130314ed79889c3db375d5b","Pastuszka","09-03-2019","caret","svmLinear","regression_V4","openml_banknote-authentication",2.5092,1.5841,1.2438,0.458
"37","38e19ef4ab959caebda3edc6cb0780b3","michalSt98","09-03-2019","caret","lm","regression_V10","openml_bank",51.5377,7.179,5.7801,0.2561
"38","02e9e92b077356f5560e46ae41352daf","airi314","13-03-2019","mlr","regr.bcart","regression_TAX","openml_boston",6140.7569,78.363,47.9132,0.7808
"39","800e6b2ac2b9e0cb6309e97222354cc4","DominikRafacz","11-03-2019","mlr","regr.rvm","regression_col_3","openml_chscase-geyser1",146.3202,12.0963,8.3697,0.14
"40","e969aeb24ecf5f57be549b8cee168214","DominikRafacz","11-03-2019","caret","treebag","regression_col_3","openml_chscase-geyser1",40.0876,6.3315,5.0649,0.7584
"41","4753f39ad4249ff97da8d5b9a5243072","DominikRafacz","24-03-2019","mlr","regr.plsr","regression_TE","openml_cloud",0.1733,0.4163,0.26,0.815
"42","4a227a967772e243a63804e6de4441f1","DominikRafacz","24-03-2019","mlr","regr.svm","regression_TE","openml_cloud",9.917,3.1491,0.7872,-2.9168
"43","a676580715a8a3cf9f2951468ec96c81","DominikRafacz","24-03-2019","mlr","regr.plsr","regression_TE","openml_cloud",0.1733,0.4163,0.26,0.815
"44","c91d079eeb53c4df12a3dc20b599f92b","DominikRafacz","24-03-2019","mlr","regr.gausspr","regression_TE","openml_cloud",0.1716,0.4143,0.2597,0.8162
