"","id","added_by","date","library","model_name","task_id","dataset_id","acc","auc","specificity","precision","f1","recall"
"1","d84db2ab57d12670ff7945760677217e","Adamoso","27-02-2019","mlr","classif.binomial","classification_married","kaggle_beauty",0.7063,0.7409,0.3751,0.8572,0.4386,NA
"2","8da9a1cc0f5ecfa8729f7412a93d05cc","BogdanJastrzebski","5-03-2019","mlr","classif.randomForest","classification_sex","kaggle_heart-disease",0.7521,NA,NA,NA,NA,NA
"3","7d6b129d7f85a0cf7543cd8573269ae0","hubertbaniecki","14-03-2019","mlr","classif.svm","classification_Legendary","kaggle_pokemon",0.9397,0.9644,0.5175,0.9538,0.9672,0.9814
"4","c1579c748aa05b7c01dde63362f8f1e2","hubertbaniecki","14-03-2019","mlr","classif.gbm","classification_Legendary","kaggle_pokemon",0.9203,0.9527,0.3738,0.938,0.9564,0.9758
"5","d2283d09084bcb91fce646cfb43f9690","hubertbaniecki","14-03-2019","mlr","classif.rda","classification_Legendary","kaggle_pokemon",0.9204,0.9538,0.5663,0.9582,0.9558,0.9552
"6","fc0d20ed4fcd676a328dacd71d5cf60c","hubertbaniecki","14-03-2019","mlr","classif.mda","classification_Legendary","kaggle_pokemon",0.9324,0.9399,0.5724,0.9581,0.9629,0.968
"7","55661bff4391e081ad481e455c59ba439","BogdanJastrzebski","12-03-2019","caret","kknn","classification_target_class","kaggle_predicting-a-pulsar-star",0.9784,NA,NA,NA,NA,NA
"8","4ee591b5cb17ed4fa2f332ad7998b950","hubertbaniecki","14-03-2019","mlr","classif.gbm","classification_Gender","kaggle_Toy-Dataset",0.6722,0.7286,0.8131,0.6763,0.5707,0.4939
"9","cceb7a7795cc60c06fcf686110b07ee4","hubertbaniecki","14-03-2019","mlr","classif.gbm","classification_Gender","kaggle_Toy-Dataset",0.6739,0.7239,0.8089,0.6753,0.5765,0.5029
"10","def026ac76b696bfc9aea433d9a1e581","hubertbaniecki","14-03-2019","mlr","classif.gbm","classification_Gender","kaggle_Toy-Dataset",0.6951,0.7589,0.7716,0.6742,0.6339,0.5982
"11","b9393037c407391f344faf84bdc56cfc","wernerolaf","20-03-2019","mlr","classif.svm","classification_Sex","openml_aids",0.44,0.4892,0.5571,0.495,0.3245,0.5
"12","d0c567b7bf5d78319bc9beeac1e01d67","Siemashko","12-03-2019","scikit","RandomForestClassifier","classification_Sex","openml_aids",0.625,0.5625,NA,0.6667,0.5714,0.5
"13","0358ebdc6266187dee28cdc68531d91c","BogdanJastrzebski","12-03-2019","mlr","classif.randomForest","classification_Class","openml_artificial-characters",0.8461,NA,NA,NA,NA,NA
"14","03f5224ae2118b63919cb1dbe9b52d0b","GoniaW","13-03-2019","caret","glmnet","classification_Class","openml_artificial-characters",0.2264,NA,NA,NA,NA,NA
"15","14cd3249f4bf48cbf10e45448eb4f08c","GoniaW","19-03-2019","mlr","classif.lda","classification_Class","openml_artificial-characters",0.3417,NA,NA,NA,NA,NA
"16","320e3b431313cfa3647ea0571ce900da","GoniaW","19-03-2019","mlr","classif.lda","classification_Class","openml_artificial-characters",0.3417,NA,NA,NA,NA,NA
"17","4d632b7ec27a2db998cf38c46f1c299d","GoniaW","19-03-2019","mlr","classif.cvglmnet","classification_Class","openml_artificial-characters",0.1386,NA,NA,NA,NA,NA
"18","7a667d0fe29687f2462e4d00b2d1c587","GoniaW","19-03-2019","mlr","classif.cvglmnet","classification_Class","openml_artificial-characters",0.1386,NA,NA,NA,NA,NA
