"id","dset","lib","mname","target","columns","insts","model_param","target_iqr","target_diff","target_skewness","binary_factors","factors3to5","big_factors","nonskew_numerics","small_skew_numerics","big_skew_numerics","mse","rmse","mae","r2","metric"
"dfc2bc8935e3e39a3e62515fc3cd35e8","openml_cloud","mlr","regr.svm","TE",7,108,"regr.svm sigmoid",1.1625,6,0.316129032258064,1,1,0,3,1,0,1.2422,1.1145,0.5167,0.283,0.18575
"f0ce2780fe556a02501390dd5761681a","openml_cloud","mlr","regr.gausspr","TE",7,108,"regr.gausspr rbfdot",1.1625,6,0.316129032258064,1,1,0,3,1,0,0.6514,0.8071,0.4016,0.5802,0.134516666666667
"fb0961ce3dba82a80288a5c1aaad2d9b","openml_cloud","mlr","regr.svm","TE",7,108,"regr.svm radial",1.1625,6,0.316129032258064,1,1,0,3,1,0,0.503,0.7092,0.3479,0.664,0.1182
"fe1a5f57410f48944387aab71e0e7660","openml_cloud","mlr","regr.gausspr","TE",7,108,"regr.gausspr vanilladot",1.1625,6,0.316129032258064,1,1,0,3,1,0,0.1714,0.414,0.2597,0.8166,0.069
"0f163b2107ff07160873f7a454e90dcf","openml_cpu_act","mlr","regr.plsr","usr",22,8192,"regr.plsr oscorespls",13,99,-0.230769230769231,0,0,0,4,7,10,93.0654,9.647,6.0735,0.725,0.0974444444444444
"242c11c7a1acbc8cb0afc81379ea5195","openml_cpu_act","mlr","regr.gausspr","usr",22,8192,"regr.gausspr polydot",13,99,-0.230769230769231,0,0,0,4,7,10,93.0643,9.647,6.0724,0.725,0.0974444444444444
"47109e5b21fa9703fdeab1819cce3f32","openml_cpu_act","mlr","regr.svm","usr",22,8192,"regr.svm sigmoid",13,99,-0.230769230769231,0,0,0,4,7,10,1653120.9298,1285.7375,534.9305,-4890.4307,12.9872474747475
"4a6baab36d4f2bcc7fdb9485d1243b79","openml_cpu_act","mlr","regr.gausspr","usr",22,8192,"regr.gausspr rbfdot",13,99,-0.230769230769231,0,0,0,4,7,10,55.5132,7.4507,2.948,0.8361,0.075259595959596
"8c856804248bd4564313d81ba21cc177","openml_cpu_act","mlr","regr.gausspr","usr",22,8192,"regr.gausspr vanilladot",13,99,-0.230769230769231,0,0,0,4,7,10,93.0643,9.647,6.0724,0.725,0.0974444444444444
"a2ed3c2dff709da720423542d003c5e8","openml_cpu_act","mlr","regr.svm","usr",22,8192,"regr.svm polynomial",13,99,-0.230769230769231,0,0,0,4,7,10,575.9387,23.9987,4.0767,-0.8078,0.242411111111111
"a8803b58aa1e837557f2390a0352d7f1","openml_cpu_act","mlr","regr.plsr","usr",22,8192,"regr.plsr kernelpls",13,99,-0.230769230769231,0,0,0,4,7,10,93.0654,9.647,6.0735,0.725,0.0974444444444444
"afcdc139e7de398cb5ad105dc3654e89","openml_cpu_act","mlr","regr.svm","usr",22,8192,"regr.svm radial",13,99,-0.230769230769231,0,0,0,4,7,10,22.4226,4.7353,2.3356,0.9338,0.0478313131313131
"f162ec892f8269cd9fa127d837e82a96","openml_cpu_act","mlr","regr.plsr","usr",22,8192,"regr.plsr simpls",13,99,-0.230769230769231,0,0,0,4,7,10,93.0555,9.6465,6.0744,0.725,0.0974393939393939
"2797201baa56f852d565729b372aca70","openml_delta_elevators","mlr","regr.gausspr","Se",7,9517,"regr.gausspr polydot",0.003,0.027,-1,0,0,0,4,1,1,2.099e-06,0.0014,0.0011,0.6275,0.0518518518518519
"3e6fbbf1d7c00eeca273cab6682d0150","openml_delta_elevators","mlr","regr.gausspr","Se",7,9517,"regr.gausspr vanilladot",0.003,0.027,-1,0,0,0,4,1,1,2.099e-06,0.0014,0.0011,0.6275,0.0518518518518519
"4d1f2c33f31fec636f75129ab2f5c503","openml_delta_elevators","mlr","regr.plsr","Se",7,9517,"regr.plsr simpls",0.003,0.027,-1,0,0,0,4,1,1,2.099e-06,0.0014,0.0011,0.6275,0.0518518518518519
"916022b504e32aaacb1a90952252129a","openml_delta_elevators","mlr","regr.svm","Se",7,9517,"regr.svm sigmoid",0.003,0.027,-1,0,0,0,4,1,1,0.0266,0.1631,0.0989,-4723.7982,6.04074074074074
"93691f57730c7f51086075ab8c01d56d","openml_delta_elevators","mlr","regr.plsr","Se",7,9517,"regr.plsr kernelpls",0.003,0.027,-1,0,0,0,4,1,1,2.099e-06,0.0014,0.0011,0.6275,0.0518518518518519
"a05766209b426eb6a08855adb9d8d1cb","openml_delta_elevators","mlr","regr.svm","Se",7,9517,"regr.svm polynomial",0.003,0.027,-1,0,0,0,4,1,1,3.2245e-06,0.0018,0.0014,0.4276,0.0666666666666667
"b21f3e5fc5a4950a368d792756f26764","openml_delta_elevators","mlr","regr.svm","Se",7,9517,"regr.svm radial",0.003,0.027,-1,0,0,0,4,1,1,2.0594e-06,0.0014,0.0011,0.6345,0.0518518518518519
"b498b1155386f37ae4bae9e6696ece6a","openml_delta_elevators","mlr","regr.plsr","Se",7,9517,"regr.plsr oscorespls",0.003,0.027,-1,0,0,0,4,1,1,2.099e-06,0.0014,0.0011,0.6275,0.0518518518518519
"caed50e49efc97198d42c307a2b7f1af","openml_delta_elevators","mlr","regr.gausspr","Se",7,9517,"regr.gausspr rbfdot",0.003,0.027,-1,0,0,0,4,1,1,2.036e-06,0.0014,0.0011,0.6387,0.0518518518518519
"17efffb0e07e52ca96d0131c670937d7","openml_detroit","mlr","regr.plsr","ASR",14,13,"regr.plsr kernelpls",45.5,255.02,-0.259340659340661,0,0,0,7,4,2,84106.4421,290.0111,114.4616,-30.1922,1.1372092384911
"1c71cc5568b9b468a3dddb1fe762249d","openml_detroit","mlr","regr.gausspr","ASR",14,13,"regr.gausspr vanilladot",45.5,255.02,-0.259340659340661,0,0,0,7,4,2,1066.6558,32.6597,23.9077,0.4091,0.128067210414869
"5a2a8d8446155586f423a66795969f7c","openml_detroit","mlr","regr.svm","ASR",14,13,"regr.svm radial",45.5,255.02,-0.259340659340661,0,0,0,7,4,2,1716.5392,41.4311,30.6931,-0.006,0.162462159830602
"5c53f4d0d6b198e4c7a8841107b69ded","openml_detroit","mlr","regr.gausspr","ASR",14,13,"regr.gausspr polydot",45.5,255.02,-0.259340659340661,0,0,0,7,4,2,1066.6558,32.6597,23.9077,0.4091,0.128067210414869
"6c09a39780c86bb2f4f95676753e5fee","openml_detroit","mlr","regr.plsr","ASR",14,13,"regr.plsr oscorespls",45.5,255.02,-0.259340659340661,0,0,0,7,4,2,84106.4418,290.0111,114.4616,-30.1922,1.1372092384911
"7d967564a3a2aed8ce58865f83214206","openml_detroit","mlr","regr.gausspr","ASR",14,13,"regr.gausspr rbfdot",45.5,255.02,-0.259340659340661,0,0,0,7,4,2,2058.6454,45.3723,31.1047,0.1596,0.177916633989491
"82f6922eb1be0fe1ae2ce02655d30eeb","openml_detroit","mlr","regr.svm","ASR",14,13,"regr.svm sigmoid",45.5,255.02,-0.259340659340661,0,0,0,7,4,2,1748.5936,41.8162,29.5707,0.0111,0.163972237471571
"9c073d2b04cc323ff7238a3acd7b8877","openml_detroit","mlr","regr.svm","ASR",14,13,"regr.svm polynomial",45.5,255.02,-0.259340659340661,0,0,0,7,4,2,1414.2251,37.6062,31.132,0.067,0.147463728335033
"a85360de6fdc94efefdb3f4c3aa2cf3f","openml_detroit","mlr","regr.plsr","ASR",14,13,"regr.plsr simpls",45.5,255.02,-0.259340659340661,0,0,0,7,4,2,84103.5794,290.0062,114.4644,-30.1903,1.13719002431182
"66ca68532158b416b4260fd4b9cb0929","openml_diabetes","mlr","regr.plsr","mass",9,768,"regr.plsr kernelpls",9.3,67.1,-0.0107526881720428,1,0,0,3,3,1,47.0204,6.8571,5.0784,0.2396,0.102192250372578
"11ec65532b182c23b6c59410280a7413","openml_disclosure_x_tampered","mlr","regr.gausspr","Income",4,662,"regr.gausspr polydot",35414.964,245922.51,-0.0757353868833522,0,0,0,3,0,0,890614838.2614,29843.1707,23024.914,0.0095,0.121351927889806
"2088979e334cd02dc3353a70ed93c426","openml_disclosure_x_tampered","mlr","regr.plsr","Income",4,662,"regr.plsr kernelpls",35414.964,245922.51,-0.0757353868833522,0,0,0,3,0,0,890621016.5106,29843.2742,23025.1071,0.0095,0.121352348754085
"50cddddd032c235de9e788c4f20e7b9a","openml_disclosure_x_tampered","mlr","regr.plsr","Income",4,662,"regr.plsr oscorespls",35414.964,245922.51,-0.0757353868833522,0,0,0,3,0,0,890621016.5106,29843.2742,23025.1071,0.0095,0.121352348754085
"533f80031436e05a18402867caae036b","openml_disclosure_x_tampered","mlr","regr.svm","Income",4,662,"regr.svm radial",35414.964,245922.51,-0.0757353868833522,0,0,0,3,0,0,920352860.845,30337.318,23452.3264,-0.0213,0.123361289700565
"6a5f28ea9b52d8f8ffd732e76c27eabe","openml_disclosure_x_tampered","mlr","regr.svm","Income",4,662,"regr.svm polynomial",35414.964,245922.51,-0.0757353868833522,0,0,0,3,0,0,893868342.8616,29897.6311,23079.6273,0.0047,0.121573381387495
